1	0.00032
0.95	0.00795
0.9	0.01558
0.85	0.02321
0.8	0.03084
0.75	0.03847
0.7	0.046
0.65	0.05311
0.6	0.05956
0.55	0.06517
0.5	0.06978
0.45	0.07313
0.4	0.07487
0.35	0.07463
0.3	0.0727
0.25	0.06926
0.2	0.06423
0.15	0.05732
0.1	0.04799
0.075	0.04202
0.05	0.03477
0.025	0.02508
0.0125	0.01815
0.0075	0.01436
0.005	0.01193
0	0
0.005	-0.01193
0.0075	-0.01436
0.0125	-0.01815
0.025	-0.02508
0.05	-0.03477
0.075	-0.04202
0.1	-0.04799
0.15	-0.05732
0.2	-0.06423
0.25	-0.06926
0.3	-0.0727
0.35	-0.07463
0.4	-0.07487
0.45	-0.07313
0.5	-0.06978
0.55	-0.06517
0.6	-0.05956
0.65	-0.05311
0.7	-0.046
0.75	-0.03847
0.8	-0.03084
0.85	-0.02321
0.9	-0.01558
0.95	-0.00795
1	-0.00032
